person_id,movie_id
62561,284053
62561,312221
62561,479455
2963,49519
2963,2059
2963,1250
72129,70160
72129,101299
72129,131631
234352,495764
234352,346698
234352,436969
16483,1366
16483,27578
16483,76163
380,769
380,475557
380,103
17288,126889
17288,121856
17288,246655
206919,419430
206919,762504
206919,284054
236695,268896
236695,140607
236695,181808
71580,284052
71580,205596
71580,453395
76788,12405
76788,334543
76788,198184
18918,353486
18918,512200
18918,254128
103,11324
103,284053
103,24428
1373737,530385
1373737,497698
1373737,619730
16828,271110
16828,1771
16828,100402
2231,273248
2231,680
2231,100402
1813,157336
1813,350
1813,9880
1136406,315635
1136406,634649
1136406,429617
206,37165
206,38
206,310
83002,286217
83002,157336
83002,97630
9273,329865
9273,340666
9273,49521
112,4922
112,284053
112,82702
37632,259316
37632,338952
37632,266856
131,141
131,242582
131,1949
227454,338970
227454,264660
227454,306819
6885,76341
6885,341013
6885,8960
19292,76492
19292,257344
19292,1824
1204,509
1204,114
1204,406997
18277,49047
18277,211672
18277,405774
6193,27205
6193,597
6193,106646
4724,819
4724,9362
4724,49538
1267329,284054
1267329,458723
1267329,1184918
62,745
62,562
62,18
6384,603
6384,245891
6384,324552
7399,953
7399,1593
7399,116745
5064,350
5064,11631
5064,446354
11701,102651
11701,420809
11701,1995
1158,240
1158,111
1158,238
31,13
31,862
31,497
3894,155
3894,49026
3894,272
204,597
204,38
204,8055
505710,634649
505710,315635
500,137113
500,75612
500,56292
74568,10195
74568,284053
74568,76338
5292,156022
5292,20504
5292,87502
30614,313369
30614,335984
30614,64690
54693,337404
54693,1930
54693,313369
6968,263115
6968,1124
6968,127585
17838,424694
17838,370172
1892,286217
1892,489
1892,2501
10990,321612
10990,12445
10990,12444
19492,297761
19492,50014
19492,146233
35742,19404
35742,26022
35742,4254
287,16869
287,72190
287,550
3223,24428
3223,299536
3223,1726
36592,391713
36592,331482
36592,7980
1100,218
1100,280
1100,106
60073,299537
60073,264644
60073,64688
85,22
85,58
85,118
90633,297762
90633,464052
90633,209112
